자치구,장기외국인수,단기외국인수,전체외국인수,지역인구,외국인비율(%)
중구,5399.1757,768275.5771999999,773674.7529,193852.30520833333,79.96
종로구,4969.9249,289965.656,294935.5809,238205.0352625,55.32
마포구,10003.9658,343318.0545,353322.02030000003,417052.96870416665,45.86
용산구,11496.5039,182094.2023,193590.7062,263872.4790041667,42.32
서대문구,9520.6394,220207.8968,229728.5362,325113.07000833336,41.4
강남구,7952.4498,347463.3892,355415.839,655545.1142875,35.16
서초구,5428.064,132271.6909,137699.7549,465975.1827041667,22.81
영등포구,3292.7824,96060.189,99352.9714,432745.77595416666,18.67
강서구,3013.6157,110305.5689,113319.1846,526891.403,17.7
송파구,4818.0426,129246.4975,134064.54009999998,736216.3999875,15.4
성동구,4690.7802,44344.738,49035.5182,308538.9398083333,13.71
동대문구,7454.2825,31579.0266,39033.3091,327699.1760625,10.64
광진구,6486.8186,31468.3051,37955.1237,353516.3765625,9.7
구로구,1950.5183,38127.9517,40078.47,378003.2813625,9.59
성북구,6158.7824,36333.7792,42492.5616,408905.8578958334,9.41
동작구,4234.7123,26487.8831,30722.5954,358048.7689041667,7.9
은평구,2676.7947,26492.8448,29169.6395,441263.64961666666,6.2
관악구,7146.8026,22076.0859,29222.8885,450404.0120125,6.09
강북구,2753.8589,15567.3605,18321.2194,287913.541725,5.98
금천구,1393.3978,9210.708,10604.1058,193612.6035333333,5.19
양천구,1538.2328,16159.5569,17697.7897,371396.60407916666,4.55
강동구,2558.2873,21148.1617,23706.449,509888.837375,4.44
도봉구,1458.8951,8422.0423,9880.9374,274950.6440375,3.47
노원구,2988.3475,13584.7074,16573.0549,495216.3397541667,3.24
중랑구,2551.6392,8877.5282,11429.1674,358424.7894541667,3.09
