자치구,장기외국인수,단기외국인수,전체외국인수,지역인구,외국인비율(%),long_pct,short_pct
중구,5399.1757,768275.5771999999,773674.7529,193852.30520833333,79.96,0.006978611722512627,0.9930213882774873
종로구,4969.9249,289965.656,294935.5809,238205.0352625,55.32,0.01685088277526301,0.9831491172247371
마포구,10003.9658,343318.0545,353322.02030000003,417052.96870416665,45.86,0.02831401731345755,0.9716859826865424
용산구,11496.5039,182094.2023,193590.7062,263872.4790041667,42.32,0.05938561889496326,0.9406143811050368
서대문구,9520.6394,220207.8968,229728.5362,325113.07000833336,41.4,0.04144299858208037,0.9585570014179196
강남구,7952.4498,347463.3892,355415.839,655545.1142875,35.16,0.022375057404236846,0.9776249425957632
서초구,5428.064,132271.6909,137699.7549,465975.1827041667,22.81,0.03941956181361366,0.9605804381863863
영등포구,3292.7824,96060.189,99352.9714,432745.77595416666,18.67,0.033142263926290584,0.9668577360737095
강서구,3013.6157,110305.5689,113319.1846,526891.403,17.7,0.026594046812440618,0.9734059531875594
송파구,4818.0426,129246.4975,134064.54009999998,736216.3999875,15.4,0.03593823240960046,0.9640617675903996
