,구명,총생활인구수
218400,종로구,194294.1824
218401,중구,145579.2716
218402,용산구,245449.3087
218403,성동구,303286.6195
218404,광진구,354462.4349
218405,동대문구,327059.4326
218406,중랑구,369023.964
218407,성북구,420005.9408
218408,강북구,296938.701
218409,도봉구,276419.95
218410,노원구,504646.2782
218411,은평구,456273.1263
218412,서대문구,327992.4424
218413,마포구,405164.9746
218414,양천구,377928.2974
218415,강서구,529553.5293
218416,구로구,381256.0232
218417,금천구,193815.1793
218418,영등포구,399792.6995
218419,동작구,371107.4779
218420,관악구,469267.3548
218421,서초구,440318.2949
218422,강남구,630407.3011
218423,송파구,704820.0696
218424,강동구,521573.5569
218425,종로구,192769.6077
218426,중구,144147.9138
218427,용산구,244370.5318
218428,성동구,304161.2084
218429,광진구,355123.8224
218430,동대문구,329544.098
218431,중랑구,371352.9279
218432,성북구,420972.5664
218433,강북구,297547.339
218434,도봉구,278901.414
218435,노원구,506210.2205
218436,은평구,459823.648
218437,서대문구,327605.2227
218438,마포구,403441.4838
218439,양천구,379343.1793
218440,강서구,532109.6934
218441,구로구,381752.4683
218442,금천구,194901.6786
218443,영등포구,399100.3746
218444,동작구,372503.4961
218445,관악구,471867.7485
218446,서초구,437439.6125
218447,강남구,627427.4787
218448,송파구,706719.2233
218449,강동구,523693.0646
218450,종로구,191645.8973
218451,중구,143266.6194
218452,용산구,243809.781
218453,성동구,305349.6154
218454,광진구,356311.9544
218455,동대문구,331174.8701
218456,중랑구,372679.1879
218457,성북구,422918.0987
218458,강북구,298222.9597
218459,도봉구,280758.3241
218460,노원구,508375.0054
218461,은평구,462342.128
218462,서대문구,328649.1514
218463,마포구,402299.7832
218464,양천구,380859.0194
218465,강서구,533760.5266
218466,구로구,382328.8177
218467,금천구,196119.3132
218468,영등포구,399070.3315
218469,동작구,374014.016
218470,관악구,473992.5041
218471,서초구,435258.4245
218472,강남구,623952.9093
218473,송파구,708790.2875
218474,강동구,526204.9441
218475,종로구,191737.8395
218476,중구,142618.4523
218477,용산구,243089.9019
218478,성동구,306699.1104
218479,광진구,358127.0873
218480,동대문구,332635.0536
218481,중랑구,374835.8515
218482,성북구,423931.3855
218483,강북구,299214.9219
218484,도봉구,282447.3642
218485,노원구,510799.1944
218486,은평구,464827.9167
218487,서대문구,329859.5084
218488,마포구,400091.2822
218489,양천구,382338.4387
218490,강서구,534847.1465
218491,구로구,383098.4073
218492,금천구,196684.183
218493,영등포구,399517.9742
218494,동작구,375109.6306
218495,관악구,475742.9678
218496,서초구,433921.1785
218497,강남구,619715.5253
218498,송파구,711278.1575
218499,강동구,528847.576
218500,종로구,191557.8232
218501,중구,143049.0827
218502,용산구,242799.6934
218503,성동구,307829.9516
218504,광진구,358555.7777
218505,동대문구,335061.8607
218506,중랑구,375892.0171
218507,성북구,425186.7761
218508,강북구,299932.0954
218509,도봉구,283494.8659
218510,노원구,512746.5342
218511,은평구,466138.8363
218512,서대문구,331329.1033
218513,마포구,399135.5205
218514,양천구,382980.3225
218515,강서구,537931.1702
218516,구로구,383297.3834
218517,금천구,197830.3083
218518,영등포구,400472.292
218519,동작구,374504.8413
218520,관악구,477694.2763
218521,서초구,433588.6361
218522,강남구,618908.448
218523,송파구,712781.9703
218524,강동구,529986.2988
218525,종로구,192896.5528
218526,중구,144850.627
218527,용산구,242809.4456
218528,성동구,309397.081
218529,광진구,359319.7057
218530,동대문구,336172.2367
218531,중랑구,375741.1284
218532,성북구,425708.9918
218533,강북구,299800.4615
218534,도봉구,284617.3993
218535,노원구,512806.9928
218536,은평구,466844.2558
218537,서대문구,331491.7394
218538,마포구,396304.0469
218539,양천구,383003.198
218540,강서구,541192.5103
218541,구로구,383963.0561
218542,금천구,198035.5228
218543,영등포구,402696.6965
