구명,index,기준일ID,총생활인구수
강남구,218709.5,20231231.0,14829.224979166667
강동구,218711.5,20231231.0,8714.691645833334
강북구,218695.5,20231231.0,6363.470441666667
강서구,218702.5,20231231.0,9146.914020833334
관악구,218707.5,20231231.0,20923.545779166667
광진구,218691.5,20231231.0,22761.952233333333
구로구,218703.5,20231231.0,38009.342525
금천구,218704.5,20231231.0,18408.253070833332
노원구,218697.5,20231231.0,5434.932108333333
도봉구,218696.5,20231231.0,3110.6506791666666
동대문구,218692.5,20231231.0,21279.802458333335
동작구,218706.5,20231231.0,13403.275541666668
마포구,218700.5,20231231.0,19513.073291666668
서대문구,218699.5,20231231.0,18702.577016666666
서초구,218708.5,20231231.0,10770.413924999999
성동구,218690.5,20231231.0,13612.904
성북구,218694.5,20231231.0,13915.873370833333
송파구,218710.5,20231231.0,14891.796475000001
양천구,218701.5,20231231.0,5162.912308333333
영등포구,218705.5,20231231.0,48084.08903333333
용산구,218689.5,20231231.0,16032.344408333332
은평구,218698.5,20231231.0,5972.114520833333
종로구,218687.5,20231231.0,16200.101320833333
중구,218688.5,20231231.0,18908.18337916667
중랑구,218693.5,20231231.0,6299.540666666667
