구명,index,기준일ID,총생활인구수
강남구,218709.5,20231231.0,655545.1142875
강동구,218711.5,20231231.0,509888.83737499994
강북구,218695.5,20231231.0,287913.54172499996
강서구,218702.5,20231231.0,526891.403
관악구,218707.5,20231231.0,450404.0120125
광진구,218691.5,20231231.0,353516.37656249997
구로구,218703.5,20231231.0,378003.2813625
금천구,218704.5,20231231.0,193612.6035333333
노원구,218697.5,20231231.0,495216.3397541667
도봉구,218696.5,20231231.0,274950.64403749997
동대문구,218692.5,20231231.0,327699.1760625
동작구,218706.5,20231231.0,358048.7689041667
마포구,218700.5,20231231.0,417052.96870416665
서대문구,218699.5,20231231.0,325113.07000833336
서초구,218708.5,20231231.0,465975.1827041667
성동구,218690.5,20231231.0,308538.93980833335
성북구,218694.5,20231231.0,408905.8578958334
송파구,218710.5,20231231.0,736216.3999875
양천구,218701.5,20231231.0,371396.60407916666
영등포구,218705.5,20231231.0,432745.77595416666
용산구,218689.5,20231231.0,263872.4790041667
은평구,218698.5,20231231.0,441263.64961666666
종로구,218687.5,20231231.0,238205.03526250002
중구,218688.5,20231231.0,193852.30520833333
중랑구,218693.5,20231231.0,358424.7894541667
