구,1989년이전건물수,전체건물수,1989년이전비율(%)
강남구,76010,384437,19.77
강동구,39658,310620,12.77
강북구,29360,203587,14.42
강서구,19112,408707,4.68
관악구,29330,261974,11.2
광진구,27776,191248,14.52
구로구,45056,275889,16.33
금천구,21870,145320,15.05
노원구,126722,385594,32.86
도봉구,46048,219268,21.0
동대문구,31604,221514,14.27
동작구,25164,241975,10.4
마포구,28904,258850,11.17
서대문구,31120,212605,14.64
서초구,39020,269124,14.5
성동구,24266,182445,13.3
성북구,33038,287509,11.49
소계,1028166,6340664,16.22
송파구,85068,445569,19.09
양천구,84488,295336,28.61
영등포구,51842,230020,22.54
용산구,40542,156108,25.97
은평구,30836,327511,9.42
종로구,23568,94304,24.99
중구,13282,89134,14.9
중랑구,24482,241750,10.13
