시,구,주택유형,2020~,2010~2019,2000~2009,1990~1999,1980~1989,~1979
서울시,소계,계,277972,708333,883248,786696,376088,137995
서울시,소계,단독주택,3454,15580,17238,111955,57116,81199
서울시,소계,아파트,188398,357234,607441,473937,234993,44057
서울시,소계,연립주택,5399,7862,13635,48880,30972,3875
서울시,소계,다세대주택,80002,324620,241459,142911,45873,5036
서울시,소계,비주거용 건물내주택,719,3037,3475,9013,7134,3828
서울시,종로구,계,1804,6920,13384,13264,4364,7420
서울시,종로구,단독주택,225,504,840,2442,1623,5922
서울시,종로구,아파트,715,4275,6502,3594,262,997
서울시,종로구,연립주택,144,234,1071,2256,1789,51
서울시,종로구,다세대주택,690,1814,4873,4711,522,239
서울시,종로구,비주거용 건물내주택,22,93,98,261,168,211
서울시,중구,계,3404,10989,14259,9279,1908,4733
서울시,중구,단독주택,28,140,329,1509,701,2978
서울시,중구,아파트,2584,8502,10782,4862,264,1415
서울시,중구,연립주택,0,62,484,994,271,60
서울시,중구,다세대주택,773,2211,2570,1678,519,26
서울시,중구,비주거용 건물내주택,12,71,94,236,153,254
서울시,용산구,계,7128,12030,21990,16644,7287,12984
서울시,용산구,단독주택,73,224,635,3777,2376,6141
서울시,용산구,아파트,3747,6985,14093,7010,2480,5600
서울시,용산구,연립주택,128,317,1119,1674,471,285
서울시,용산구,다세대주택,3153,4455,6090,4040,1813,715
서울시,용산구,비주거용 건물내주택,16,42,53,143,147,243
서울시,성동구,계,2461,23827,30869,21941,8317,3816
서울시,성동구,단독주택,48,211,319,3875,1873,2963
서울시,성동구,아파트,949,20302,27575,14212,4651,397
서울시,성동구,연립주택,127,7,259,409,999,197
서울시,성동구,다세대주택,1307,3251,2634,3129,534,41
서울시,성동구,비주거용 건물내주택,20,49,82,316,260,218
서울시,광진구,계,8242,24506,22373,26622,10131,3757
서울시,광진구,단독주택,128,1279,1054,6700,3014,2574
서울시,광진구,아파트,3234,3603,9214,13777,4669,702
서울시,광진구,연립주택,214,155,573,1849,1121,294
서울시,광진구,다세대주택,4652,19311,11408,3803,896,12
서울시,광진구,비주거용 건물내주택,6,152,124,493,431,175
서울시,동대문구,계,10432,31220,37618,15689,7707,8095
서울시,동대문구,단독주택,101,716,709,5640,2734,6111
서울시,동대문구,아파트,7830,20125,33072,7204,2467,1517
서울시,동대문구,연립주택,310,508,644,574,1273,69
서울시,동대문구,다세대주택,2162,9706,3051,1839,765,139
서울시,동대문구,비주거용 건물내주택,21,165,142,432,468,259
서울시,중랑구,계,14565,32392,21101,40577,7871,4370
서울시,중랑구,단독주택,204,1284,876,8725,3015,3524
서울시,중랑구,아파트,8009,10978,12800,26744,2111,190
