자치구,지역총생활인구수,외국인_총합,중국인_총합,중국외_총합,한국인수(추정),외국인수(합),외국인비율(%),한국인_pct,외국인_pct
중구,193852.30520833333,2366096.1103999997,776465.6976,1589630.4127999996,193852.30520833333,2366096.1103999997,92.43,7.57,92.43
종로구,238205.0352625,974349.6357999999,298635.91250000003,675713.7233,238205.0352625,974349.6357999999,80.36,19.64,80.36
마포구,417052.96870416665,1220909.2247000001,352179.6595,868729.5652000001,417052.96870416665,1220909.2247000001,74.54,25.46,74.54
용산구,263872.4790041667,606957.8027,185644.3678,421313.4349,263872.4790041667,606957.8027,69.7,30.3,69.7
서대문구,325113.07000833336,721002.0619999999,230628.7351,490373.3268999999,325113.07000833336,721002.0619999999,68.92,31.08,68.92
강남구,655545.1142875,1135711.9677000002,351828.33999999997,783883.6277000002,655545.1142875,1135711.9677000002,63.4,36.6,63.4
영등포구,432745.77595416666,572441.2836,139974.9553,432466.32829999994,432745.77595416666,572441.2836,56.95,43.05,56.95
서초구,465975.1827041667,370369.4563,135623.3406,234746.11570000002,465975.1827041667,370369.4563,44.28,55.72,44.28
강서구,526891.403,370106.4747,116286.5891,253819.88560000004,526891.403,370106.4747,41.26,58.74,41.26
성동구,308538.9398083333,188143.794,53229.0851,134914.7089,308538.9398083333,188143.794,37.88,62.12,37.88
