자치구,총생활인구수,중국인체류인구수,중국인_비율(%),중국외외국인체류인구수,중국외_외국인_비율(%)
종로구,13640.1804,8670.2565,63.56,4969.9249,36.44
중구,13589.2959,8190.1204,60.27,5399.1757,39.73
용산구,15046.6725,3550.1655,23.59,11496.5039,76.41
성동구,13575.1242,8884.3471,65.45,4690.7802,34.55
광진구,24158.1353,17671.3149,73.15,6486.8186,26.85
동대문구,23509.1311,16054.8459,68.29,7454.2825,31.71
중랑구,6590.8484,4039.2102,61.29,2551.6392,38.71
성북구,14721.2824,8562.4963,58.16,6158.7824,41.84
강북구,7027.3157,4273.4579,60.81,2753.8589,39.19
도봉구,3059.2624,1600.3663,52.31,1458.8951,47.69
노원구,5255.8342,2267.4867,43.14,2988.3475,56.86
은평구,6072.2302,3395.4339,55.92,2676.7947,44.08
서대문구,19941.4783,10420.8383,52.26,9520.6394,47.74
마포구,18865.5686,8861.605,46.97,10003.9658,53.03
양천구,4939.3425,3401.1118,68.86,1538.2328,31.14
강서구,8994.6336,5981.0202,66.5,3013.6157,33.5
구로구,38602.922,36652.4057,94.95,1950.5183,5.05
금천구,19587.2685,18193.8709,92.89,1393.3978,7.11
영등포구,47207.5466,43914.7663,93.02,3292.7824,6.98
동작구,14213.0818,9978.3692,70.21,4234.7123,29.79
관악구,22747.9824,15601.1757,68.58,7146.8026,31.42
서초구,8779.7136,3351.6497,38.17,5428.064,61.83
강남구,12317.401,4364.9508,35.44,7952.4498,64.56
송파구,12055.4533,7237.4104,60.03,4818.0426,39.97
강동구,8995.2846,6436.9992,71.56,2558.2873,28.44
