자치구,index,기준일ID,지역총생활인구수,외국인_총생활인구수,중국인체류인구수,중국외외국인체류인구수,총외국인수,외국인_비율(%),"중국인_비율(외국인대비, %)",합계_총생활인구수,"외국인_비율(합계대비, %)","중국인_비율(합계대비, %)"
강남구,218709.5,20231231.0,655545.1142875,12317.401,4364.9508,7952.4498,12317.4006,100.0,35.44,667862.52,1.84,0.65
강동구,218711.5,20231231.0,509888.837375,8995.2846,6436.9992,2558.2873,8995.2865,100.0,71.56,518884.12,1.73,1.24
강북구,218695.5,20231231.0,287913.541725,7027.3157,4273.4579,2753.8589,7027.3168000000005,100.0,60.81,294940.86,2.38,1.45
강서구,218702.5,20231231.0,526891.403,8994.6336,5981.0202,3013.6157,8994.6359,100.0,66.5,535886.04,1.68,1.12
관악구,218707.5,20231231.0,450404.0120125,22747.9824,15601.1757,7146.8026,22747.9783,100.0,68.58,473151.99,4.81,3.3
광진구,218691.5,20231231.0,353516.3765625,24158.1353,17671.3149,6486.8186,24158.1335,100.0,73.15,377674.51,6.4,4.68
구로구,218703.5,20231231.0,378003.2813625,38602.922,36652.4057,1950.5183,38602.924000000006,100.0,94.95,416606.2,9.27,8.8
금천구,218704.5,20231231.0,193612.6035333333,19587.2685,18193.8709,1393.3978,19587.2687,100.0,92.89,213199.87,9.19,8.53
노원구,218697.5,20231231.0,495216.3397541667,5255.8342,2267.4867,2988.3475,5255.834199999999,100.0,43.14,500472.17,1.05,0.45
도봉구,218696.5,20231231.0,274950.6440375,3059.2624,1600.3663,1458.8951,3059.2614,100.0,52.31,278009.91,1.1,0.58
동대문구,218692.5,20231231.0,327699.1760625,23509.1311,16054.8459,7454.2825,23509.1284,100.0,68.29,351208.31,6.69,4.57
동작구,218706.5,20231231.0,358048.7689041667,14213.0818,9978.3692,4234.7123,14213.0815,100.0,70.21,372261.85,3.82,2.68
마포구,218700.5,20231231.0,417052.96870416665,18865.5686,8861.605,10003.9658,18865.5708,100.0,46.97,435918.54,4.33,2.03
서대문구,218699.5,20231231.0,325113.07000833336,19941.4783,10420.8383,9520.6394,19941.4777,100.0,52.26,345054.55,5.78,3.02
서초구,218708.5,20231231.0,465975.1827041667,8779.7136,3351.6497,5428.064,8779.7137,100.0,38.17,474754.9,1.85,0.71
성동구,218690.5,20231231.0,308538.9398083333,13575.1242,8884.3471,4690.7802,13575.1273,100.0,65.45,322114.06,4.21,2.76
성북구,218694.5,20231231.0,408905.8578958334,14721.2824,8562.4963,6158.7824,14721.2787,100.0,58.16,423627.14,3.48,2.02
송파구,218710.5,20231231.0,736216.3999875,12055.4533,7237.4104,4818.0426,12055.453,100.0,60.03,748271.85,1.61,0.97
양천구,218701.5,20231231.0,371396.60407916666,4939.3425,3401.1118,1538.2328,4939.3446,100.0,68.86,376335.95,1.31,0.9
영등포구,218705.5,20231231.0,432745.77595416666,47207.5466,43914.7663,3292.7824,47207.5487,100.0,93.02,479953.32,9.84,9.15
용산구,218689.5,20231231.0,263872.4790041667,15046.6725,3550.1655,11496.5039,15046.669399999999,100.0,23.59,278919.15,5.39,1.27
은평구,218698.5,20231231.0,441263.64961666666,6072.2302,3395.4339,2676.7947,6072.2286,100.0,55.92,447335.88,1.36,0.76
종로구,218687.5,20231231.0,238205.0352625,13640.1804,8670.2565,4969.9249,13640.1814,100.0,63.56,251845.22,5.42,3.44
중구,218688.5,20231231.0,193852.30520833333,13589.2959,8190.1204,5399.1757,13589.2961,100.0,60.27,207441.6,6.55,3.95
중랑구,218693.5,20231231.0,358424.7894541667,6590.8484,4039.2102,2551.6392,6590.8494,100.0,61.29,365015.64,1.81,1.11
