자치구,총생활인구수,중국인체류인구수,중국인_비율(%),중국외외국인체류인구수,중국외_외국인_비율(%)
종로구,18084.8472,7326.0274,40.51,10758.8196,59.49
중구,49038.849,16708.3318,34.07,32330.5164,65.93
용산구,13752.6183,4486.1587,32.62,9266.4575,67.38
성동구,2385.139,988.6011,41.45,1396.5399,58.55
광진구,2711.0784,1307.7645,48.24,1403.3135,51.76
동대문구,3299.5434,1680.9683,50.95,1618.5762,49.05
중랑구,593.36,209.5116,35.31,383.8489,64.69
성북구,3523.3099,1753.5433,49.77,1769.7663,50.23
강북구,1002.1024,295.5104,29.49,706.5924,70.51
도봉구,437.6938,78.5788,17.95,359.1156,82.05
노원구,655.8997,85.2076,12.99,570.6916,87.01
은평구,1277.7924,261.9594,20.5,1015.834,79.5
서대문구,16336.9165,6099.8878,37.34,10237.0286,62.66
마포구,27331.4493,12104.6955,44.29,15226.753,55.71
양천구,1059.41,349.1683,32.96,710.2425,67.04
강서구,8028.5767,2916.0488,36.32,5112.5301,63.68
구로구,4638.8691,2590.3815,55.84,2048.4849,44.16
금천구,1365.6438,947.1196,69.35,418.5247,30.65
영등포구,10550.2189,6558.0905,62.16,3992.1269,37.84
동작구,1744.5781,772.3635,44.27,972.2156,55.73
관악구,2044.2641,1152.1261,56.36,892.1386,43.64
서초구,8161.895,2256.7136,27.65,5905.1838,72.35
강남구,23423.6723,8834.3422,37.72,14589.3284,62.28
송파구,5428.7587,1454.6294,26.79,3974.1316,73.21
강동구,1328.7691,355.3613,26.74,973.4079,73.26
