자치구,index,기준일ID,지역총생활인구수,외국인_총생활인구수,중국인체류인구수,중국인_비율(%),중국외외국인체류인구수,중국외_외국인_비율(%),총외국인수,합계_총생활인구수,"외국인_비율(합계대비, %)","중국인_비율(합계대비, %)","중국인_비율(외국인대비, %)"
강남구,218709.5,20231231.0,655545.1142875,23423.6723,8834.3422,37.72,14589.3284,62.28,23423.670599999998,678968.79,3.45,1.3,37.72
강동구,218711.5,20231231.0,509888.837375,1328.7691,355.3613,26.74,973.4079,73.26,1328.7692000000002,511217.61,0.26,0.07,26.74
강북구,218695.5,20231231.0,287913.541725,1002.1024,295.5104,29.49,706.5924,70.51,1002.1028,288915.64,0.35,0.1,29.49
강서구,218702.5,20231231.0,526891.403,8028.5767,2916.0488,36.32,5112.5301,63.68,8028.5789,534919.98,1.5,0.55,36.32
관악구,218707.5,20231231.0,450404.0120125,2044.2641,1152.1261,56.36,892.1386,43.64,2044.2647,452448.28,0.45,0.25,56.36
광진구,218691.5,20231231.0,353516.3765625,2711.0784,1307.7645,48.24,1403.3135,51.76,2711.078,356227.45,0.76,0.37,48.24
구로구,218703.5,20231231.0,378003.2813625,4638.8691,2590.3815,55.84,2048.4849,44.16,4638.8664,382642.15,1.21,0.68,55.84
금천구,218704.5,20231231.0,193612.6035333333,1365.6438,947.1196,69.35,418.5247,30.65,1365.6443,194978.25,0.7,0.49,69.35
노원구,218697.5,20231231.0,495216.3397541667,655.8997,85.2076,12.99,570.6916,87.01,655.8992,495872.24,0.13,0.02,12.99
도봉구,218696.5,20231231.0,274950.6440375,437.6938,78.5788,17.95,359.1156,82.05,437.6944,275388.34,0.16,0.03,17.95
동대문구,218692.5,20231231.0,327699.1760625,3299.5434,1680.9683,50.95,1618.5762,49.05,3299.5445,330998.72,1.0,0.51,50.95
동작구,218706.5,20231231.0,358048.7689041667,1744.5781,772.3635,44.27,972.2156,55.73,1744.5791,359793.35,0.48,0.21,44.27
마포구,218700.5,20231231.0,417052.96870416665,27331.4493,12104.6955,44.29,15226.753,55.71,27331.4485,444384.42,6.15,2.72,44.29
서대문구,218699.5,20231231.0,325113.07000833336,16336.9165,6099.8878,37.34,10237.0286,62.66,16336.9164,341449.99,4.78,1.79,37.34
서초구,218708.5,20231231.0,465975.1827041667,8161.895,2256.7136,27.65,5905.1838,72.35,8161.8974,474137.08,1.72,0.48,27.65
성동구,218690.5,20231231.0,308538.9398083333,2385.139,988.6011,41.45,1396.5399,58.55,2385.141,310924.08,0.77,0.32,41.45
성북구,218694.5,20231231.0,408905.8578958334,3523.3099,1753.5433,49.77,1769.7663,50.23,3523.3096,412429.17,0.85,0.43,49.77
송파구,218710.5,20231231.0,736216.3999875,5428.7587,1454.6294,26.79,3974.1316,73.21,5428.761,741645.16,0.73,0.2,26.79
양천구,218701.5,20231231.0,371396.60407916666,1059.41,349.1683,32.96,710.2425,67.04,1059.4107999999999,372456.01,0.28,0.09,32.96
영등포구,218705.5,20231231.0,432745.77595416666,10550.2189,6558.0905,62.16,3992.1269,37.84,10550.217400000001,443295.99,2.38,1.48,62.16
용산구,218689.5,20231231.0,263872.4790041667,13752.6183,4486.1587,32.62,9266.4575,67.38,13752.6162,277625.1,4.95,1.62,32.62
은평구,218698.5,20231231.0,441263.64961666666,1277.7924,261.9594,20.5,1015.834,79.5,1277.7934,442541.44,0.29,0.06,20.5
종로구,218687.5,20231231.0,238205.0352625,18084.8472,7326.0274,40.51,10758.8196,59.49,18084.847,256289.88,7.06,2.86,40.51
중구,218688.5,20231231.0,193852.30520833333,49038.849,16708.3318,34.07,32330.5164,65.93,49038.8482,242891.15,20.19,6.88,34.07
중랑구,218693.5,20231231.0,358424.7894541667,593.36,209.5116,35.31,383.8489,64.69,593.3605,359018.15,0.17,0.06,35.31
