,X좌표,Y좌표,비상소화장치고유번호
0,203839.5807,554251.2068,동대문-청량-034(
1,199533.4861,556623.5368,성북-길음-87(비)
2,201001.5919,557134.7855,성북-길음-168(비
3,203815.8539,556894.9788,성북-장위-89(비)
4,199433.4172,556587.2499,성북-길음-169(비
5,200704.8324,556053.3297,성북-길음-171(비
6,200271.8382,555554.1177,성북-길음-174(비
7,202377.0879,556885.0348,성북-길음-176(비
8,199888.7007,556417.3767,성북-길음-177(비
9,200179.2845,557270.9711,성북-길음-178(비
10,203992.043,556907.3202,성북-장위-151(비
11,200167.8441,554623.8677,성북-돈암-163(비
12,201139.0945,556758.7652,성북-길음-166(비
13,199932.1835,557329.2725,성북-길음-90(비)
14,199187.7397,554777.6531,성북-돈암-92(비)
15,199403.6206,554726.8837,성북-돈암-93(비)
16,201834.2554,555253.9896,성북-돈암-94(비)
17,201407.8748,555314.2475,성북-돈암-97(비)
18,200673.2326,554085.6801,성북-돈암-99(비)
19,200915.9137,556716.5667,성북-길음-100(비
20,192337.2677,545216.9009,영등포-신길-0000
21,200750.9344,554607.635,성북-돈암-212(비
22,200777.4553,553664.5215,성북-돈암-208(비
23,201894.8484,554959.4635,성북-돈암-213(비
24,199728.501,556312.8045,성북-길음-204(비
25,193923.2345,558475.1281,은평-현장-52(비)
26,193953.242,552883.0754,서대문-현장-11(?
27,192436.0562,552336.955,서대문-북가-41(?
28,195705.6808,555164.4956,서대문-홍은-56(?
29,195646.3557,555661.5168,서대문-홍은-57(?
30,191543.2054,555165.5894,은평-수색-55(비)
31,192199.0199,558500.8037,은평-현장-60(비)
32,192507.6378,558558.6973,은평-현장-61(비)
33,190868.6083,543630.6127,영등포-대림-0000
34,192234.1103,545309.8238,영등포-신길-0000
35,191760.9072,545633.7995,영등포-현장-0000
36,191553.5338,548293.2981,영등포-당산-0000
37,191312.858,543274.195,영등포-대림-0000
38,192639.3798,545643.7726,영등포-신길-0000
39,191079.4282,543470.0805,영등포-대림-0000
40,191100.497,543568.0615,영등포-대림-0000
41,191508.945,543508.134,영등포-대림-0000
42,191743.0275,546872.5471,영등포-현장-0000
43,193053.5174,545700.7137,영등포-신길-0000
44,191506.4342,545135.4822,영등포-현장-0000
45,190371.3811,546076.2328,영등포-현장-0000
46,191746.931,546800.1203,영등포-현장-0000
47,191870.6484,546667.0973,영등포-현장-0000
48,191880.6093,546801.1864,영등포-현장-0000
49,186727.2031,545128.1695,구로-고척-000015
50,190616.1597,540620.6332,금천-현장-000018
51,189495.2235,543066.4713,구로-공단-000022
52,192331.534,539305.6579,금천-시흥-000020
53,188119.4518,544877.8621,구로-현장-000023
54,186170.2364,544127.5294,구로-수궁-000029
55,191599.8109,541711.4106,금천-현장-000024
56,186647.7575,545332.8104,구로-고척-000040
57,188320.5248,544705.4062,구로-현장-000037
58,190039.2866,543199.002,구로-공단-000047
59,189477.4433,544146.4444,구로-구로-000046
60,190025.7399,543303.425,구로-공단-000051
61,190056.0578,542887.0444,구로-공단-000044
62,189938.3545,543330.9821,구로-공단-000031
63,191184.2384,541572.7881,금천-현장-000033
64,190067.3912,542687.029,구로-공단-000025
65,190177.6442,542918.5449,구로-공단-000026
66,186175.6281,543524.1249,구로-수궁-000038
67,186346.9075,544378.3133,구로-고척-000041
68,191235.3866,541864.092,금천-현장-000043
69,191562.0679,541234.0517,금천-현장-000054
70,187010.1879,544729.7379,구로-고척-000057
71,190076.9741,543688.6264,구로-구로-000045
72,189982.7788,543414.088,구로-구로-000060
73,192278.5737,540242.6527,금천-시흥-000063
74,190326.423,543609.3939,구로-공단-000071
75,188187.0318,544785.7208,구로-현장-000075
76,189626.8762,543278.3765,구로-공단-000072
77,189833.6919,542807.4467,구로-공단-000073
78,191185.9999,540077.129,금천-현장-000065
79,191656.3452,538300.2039,금천-시흥-000064
80,192230.3811,539376.6014,금천-시흥-000066
81,201514.2393,558010.9203,강북-삼각-431(비
82,202145.5419,557821.508,강북-미아-304(비
83,202828.5907,557747.4341,강북-미아-317(비
84,203310.2584,563144.034,도봉-도봉-80(비)
85,203940.3028,564861.6339,도봉-도봉-91(비)
86,204057.2857,563786.3598,도봉-도봉-96(비)
87,202999.6602,562842.7047,도봉-도봉-107(비
88,201795.8364,560352.5725,강북-우이-204(비
89,201383.2596,558948.8707,강북-삼각-432(비
90,201306.3254,559958.7139,강북-우이-210(비
91,202002.4718,559208.4965,강북-삼각-433(비
92,202342.3425,560321.0127,강북-현장-103(비
93,202001.0716,560883.9619,강북-우이-205(비
94,202072.6972,559046.4972,강북-삼각-434(비
95,201925.9236,559129.5641,강북-삼각-435(비
96,202070.9249,557116.1885,강북-미아-310(비
97,203078.2776,563271.0586,도봉-도봉-133(비
98,201883.8276,560077.4656,강북-현장-101(비
99,203939.9008,561781.276,도봉-현장-104(비
100,201391.7779,562095.178,도봉-쌍문-121(비
101,204183.837,563749.6238,도봉-도봉-134(비
102,186808.4198,543463.2787,구로-현장-000081
103,186753.4552,545022.8602,구로-고척-000082
104,189653.0013,544427.1024,구로-구로-000083
105,191784.6756,538136.1173,금천-시흥-000087
106,186860.8691,544999.1067,구로-고척-000085
107,191551.1346,541354.6112,금천-현장-000086
108,192228.3467,539280.7948,금천-시흥-000088
109,190585.1126,543128.6369,구로-공단-000089
110,186815.4636,545047.8039,구로-고척-000014
111,192719.9335,540470.513,관악-난곡-000004
112,196299.0029,543519.2812,관악-봉천-000012
113,196478.9475,541298.4696,관악-현장-000025
114,196389.7698,545488.2179,동작-노량-000022
115,196103.9236,545947.089,동작-노량-000023
116,196438.6907,545296.6544,동작-노량-000026
117,194911.3708,545306.6465,동작-노량-000028
118,200485.8692,554844.3547,성북-돈암-76(비)
119,204524.6277,557843.7154,성북-장위-77(비)
120,195875.0012,544536.5581,동작-백운-000005
121,194342.0537,545508.5311,동작-노량-000030
122,193448.4947,543896.1326,동작-현장-000032
123,193295.1647,542693.3477,관악-신림-000003
124,194619.6613,543297.3637,관악-봉천-000029
125,196117.5139,545740.8235,동작-노량-000033
126,197296.7475,543073.1641,동작-백운-000035
127,195430.9411,543159.7399,관악-봉천-000041
128,195854.5337,548325.5035,용산-이촌-000061
129,199642.4882,547057.1828,용산-서빙-000062
130,197891.0495,550120.2226,용산-후암-000073
131,196450.6972,548478.9431,용산-이촌-000074
132,198632.3673,549121.9958,용산-후암-000077
133,200179.6345,547637.7509,용산-이태-000078
134,197019.1481,548856.3043,용산-현장-000079
135,197061.6492,547539.1794,용산-현장-000082
136,197796.5012,550337.3639,용산-후암-000083
137,200210.8922,547893.5713,용산-이태-000084
138,199779.5666,547453.0071,용산-이태-000085
139,197747.9994,548588.2416,용산-현장-000089
140,199765.0399,547540.9396,용산-이태-000091
141,197830.3172,550368.8502,용산-후암-000092
142,198513.027,549575.3413,용산-후암-000093
143,199988.9767,548101.8416,용산-이태-000095
144,200465.4957,547766.2077,용산-이태-000103
145,197047.9536,550364.7318,용산-현장-000106
