,자치구,접수시각,소방서_거리,사망자수,부상자수,발화원인_대분류,접수시각_년원일,접수시각_년월일
0,관악구,20230201002330,3,0,0,,20230201002330,20230201
1,성북구,20230123210057,1,0,0,,20230123210057,20230123
2,강서구,20230124184518,4,0,0,,20230124184518,20230124
3,구로구,20230130221856,1,0,0,,20230130221856,20230130
4,강북구,20230131193757,1,0,0,,20230131193757,20230131
5,구로구,20230131121224,3,0,0,,20230131121224,20230131
6,서초구,20230109135400,1,0,0,,20230109135400,20230109
7,종로구,20230125114755,2,0,0,,20230125114755,20230125
8,용산구,20230131105156,2,0,0,주방기기,20230131105156,20230131
9,금천구,20230128112018,0,0,0,배선/배선기구,20230128112018,20230128
10,노원구,20230101130247,3,0,0,,20230101130247,20230101
11,중구,20230122013120,0,0,0,,20230122013120,20230122
12,강남구,20230120062724,2,0,0,,20230120062724,20230120
13,송파구,20230101163523,1,0,0,,20230101163523,20230101
14,강북구,20230111211553,3,0,0,,20230111211553,20230111
15,도봉구,20230122010221,1,0,0,,20230122010221,20230122
16,중랑구,20230121183940,2,0,0,,20230121183940,20230121
17,강서구,20230124080033,5,0,0,계절용 기기,20230124080033,20230124
18,강동구,20230101122711,2,0,0,,20230101122711,20230101
19,강동구,20230101102840,1,0,0,계절용 기기,20230101102840,20230101
20,강남구,20230112102750,3,0,0,,20230112102750,20230112
21,중구,20230122014848,0,0,0,,20230122014848,20230122
22,중랑구,20230122153650,2,0,0,,20230122153650,20230122
23,관악구,20230121132607,4,0,0,,20230121132607,20230121
24,중랑구,20230121052645,3,0,0,,20230121052645,20230121
25,송파구,20230124004530,0,0,0,,20230124004530,20230124
26,용산구,20230109140050,3,0,0,,20230109140050,20230109
27,중랑구,20230109021639,2,0,0,,20230109021639,20230109
28,동작구,20230122091710,5,0,0,,20230122091710,20230122
29,종로구,20230122181007,3,0,0,,20230122181007,20230122
30,중구,20230109195803,1,0,0,,20230109195803,20230109
31,영등포구,20230101171659,1,0,0,기타,20230101171659,20230101
32,종로구,20230122020545,3,0,0,,20230122020545,20230122
33,동작구,20230121204202,3,0,1,,20230121204202,20230121
34,강남구,20230121082830,2,0,0,,20230121082830,20230121
35,영등포구,20230124000116,1,0,0,,20230124000116,20230124
36,광진구,20230124014835,1,0,0,,20230124014835,20230124
37,중랑구,20230110130946,1,0,0,,20230110130946,20230110
38,종로구,20230122023139,1,0,0,,20230122023139,20230122
39,영등포구,20230124084826,2,0,0,배선/배선기구,20230124084826,20230124
40,종로구,20230124211346,0,0,0,,20230124211346,20230124
41,용산구,20230124185625,2,0,0,,20230124185625,20230124
42,강서구,20230124074807,4,0,0,주방기기,20230124074807,20230124
43,서초구,20230106085329,12,0,0,,20230106085329,20230106
44,서초구,20230120094441,3,0,0,주방기기,20230120094441,20230120
