,자치구,미성년자,청년,중년,장년,총생활인구수
0,종로구,24499.458799999997,65108.7982,46094.613300000005,58591.3201,194294.1824
1,중구,16386.758700000002,51841.87180000001,35262.2641,42088.3765,145579.2716
2,용산구,30742.7752,88888.1896,60327.917,65490.42600000001,245449.3087
3,성동구,42061.872599999995,102295.4631,74225.6154,84703.66689999998,303286.6195
4,광진구,51548.7808,126643.85160000001,80049.06189999999,96220.7365,354462.4349
5,동대문구,44421.0513,111386.49339999999,74542.4339,96709.4534,327059.4326
6,중랑구,51426.5218,107166.03340000001,85823.47270000001,124607.9321,369023.964
7,성북구,71296.1019,122900.8413,101089.83610000001,124719.16260000001,420005.9408
8,강북구,40970.772899999996,81892.1245,69490.3377,104585.4624,296938.701
9,도봉구,41886.365099999995,70157.03080000001,63496.3144,100880.23449999999,276419.95
10,노원구,88477.8026,131881.8676,121559.2949,162727.3116,504646.2782
11,은평구,70010.5111,129387.29299999999,112751.13380000001,144124.1829,456273.1263
12,서대문구,45677.672900000005,111334.6629,76207.9467,94772.161,327992.4424
13,마포구,55619.476,157918.749,97134.3866,94492.35630000001,405164.9746
14,양천구,77892.4988,91924.9818,97081.8763,111028.9458,377928.2974
15,강서구,84668.0649,167841.68939999997,124647.2258,152396.54940000002,529553.5293
16,구로구,57842.34940000001,111099.02539999998,94285.4764,118029.1697,381256.0232
17,금천구,22559.3217,64430.44869999999,46836.3758,59989.0364,193815.1793
18,영등포구,52256.7546,136152.9254,98518.325,112864.6945,399792.6995
19,동작구,54998.4275,123958.1895,84668.37370000001,107482.4903,371107.4779
20,관악구,51561.625100000005,192867.92429999998,100971.72740000002,123866.0818,469267.3548
21,서초구,88290.02290000001,120820.5783,119847.3942,111360.2966,440318.2949
22,강남구,125622.6707,183552.57299999997,172690.275,148541.7922,630407.3011
23,송파구,128675.78940000001,203669.4184,174861.1477,197613.71809999997,704820.0696
24,강동구,91963.22879999998,138367.2287,128760.954,162482.1514,521573.5569
