구,구코드,미성년자,청년,중년,장년,total,미성년자_pct,청년_pct,중년_pct,장년_pct
0,,575974752.807,1171601153.0606,876031105.0408,1028652913.0503,3652259923.9587,15.77,32.08,23.99,28.16
1,,576236322.4568,1170119212.2814,876000520.0422,1029118539.5163,3651474594.2966995,15.78,32.05,23.99,28.18
2,,576544630.8089,1169472880.0134,876396334.1849,1029698142.1389,3652111987.1461,15.79,32.02,24.0,28.19
3,,576850132.2261,1169148742.6253,876980951.1814,1030357380.0341,3653337206.0669,15.79,32.0,24.0,28.2
4,,577106161.6854,1169007781.2001,877527114.9652,1031380987.6384,3655022045.4891,15.79,31.98,24.01,28.22
5,,577359210.7479,1169376845.4275,878355276.9255,1032993398.8366,3658084731.9375,15.78,31.97,24.01,28.24
6,,578072175.0185,1173581339.9289,883970513.0992,1034184765.4488,3669808793.4954004,15.75,31.98,24.09,28.18
7,,580420068.8589,1194471040.4642,898446700.1581,1035865750.3064,3709203559.7876,15.65,32.2,24.22,27.93
8,,581597891.9646,1224410775.7198,913806563.2858,1041531373.0836,3761346604.0538,15.46,32.55,24.29,27.69
9,,584886578.8256,1241633679.5022,924025663.0691,1048076768.2054,3798622689.6022997,15.4,32.69,24.33,27.59
10,,587765980.7858,1250351820.6553,929209005.5684,1052656282.1572,3819983089.1667,15.39,32.73,24.32,27.56
11,,590989942.4827,1257187438.8017,931299975.7388,1053414878.3092,3832892235.3324003,15.42,32.8,24.3,27.48
12,,593345937.3499,1263592426.0796,933129020.4271,1053967477.8044,3844034861.661,15.44,32.87,24.27,27.42
13,,594671179.6947,1268280936.9076,934655543.1697,1055518536.5246,3853126196.2966,15.43,32.92,24.26,27.39
14,,595103370.1689,1270486897.3951,934926870.4946,1056278369.4,3856795507.4586005,15.43,32.94,24.24,27.39
15,,594391537.3985,1271777744.2321,934366958.1255,1055496272.5665,3856032512.3225994,15.41,32.98,24.23,27.37
16,,592805146.9361,1271362051.2336,932614886.1762,1053555458.969,3850337543.3149,15.4,33.02,24.22,27.36
17,,591266178.3644,1267443991.4743,928081897.6672,1050951338.8679,3837743406.3738,15.41,33.03,24.18,27.38
18,,589430769.3751,1252309745.7985,917317724.8704,1048179183.6496,3807237423.6936,15.48,32.89,24.09,27.53
19,,587549499.0452,1231076564.3211,905018751.3851,1044973034.5442,3768617849.2956,15.59,32.67,24.01,27.73
20,,585776810.7649,1218069753.4025,898367702.4002,1042591080.4467,3744805347.0143,15.64,32.53,23.99,27.84
21,,583444558.848,1206098242.4595,892899528.5616,1039510217.6896,3721952547.5587,15.68,32.4,23.99,27.93
22,,580227519.7557,1192310701.7916,886296218.1441,1036251932.1183,3695086371.8096995,15.7,32.27,23.99,28.04
23,,576204583.4805,1176399548.9977,877076685.5494,1028461959.597,3658142777.6246,15.75,32.16,23.98,28.11
