연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
1,110081285,1107102,60,203839.5807,554251.2068,동대문-청량-034(,52201,N,20241014170658,POINT (127.04347263194731 37.58781315775755),127.04347263194731,37.58781315775755
2,110081549,1109103,62,199533.4861,556623.5368,성북-길음-87(비),52201,N,20241005170403,POINT (126.99471650846863 37.60919552598627),126.99471650846863,37.60919552598627
3,110081533,1109103,63,201001.5919,557134.7855,성북-길음-168(비,52201,N,20241013171004,POINT (127.01134420364522 37.613801393898186),127.01134420364522,37.613801393898186
4,110081551,1109104,64,203815.8539,556894.9788,성북-장위-89(비),52201,N,20241011171100,POINT (127.04321776772973 37.61163339395087),127.04321776772973,37.61163339395087
5,110081534,1109103,65,199433.4172,556587.2499,성북-길음-169(비,52201,N,20241005170403,POINT (126.99358320873327 37.608868528668474),126.99358320873327,37.608868528668474
6,110081535,1109103,66,200704.8324,556053.3297,성북-길음-171(비,52201,N,20240926171119,POINT (127.00798201272919 37.60405786644615),127.00798201272919,37.60405786644615
7,110081537,1109103,67,200271.8382,555554.1177,성북-길음-174(비,52201,N,20240923174024,POINT (127.00307829968199 37.59956024327469),127.00307829968199,37.59956024327469
8,110081539,1109103,69,202377.0879,556885.0348,성북-길음-176(비,52201,N,20240928171131,POINT (127.02692249765893 37.61154864213914),127.02692249765893,37.61154864213914
9,110081540,1109103,70,199888.7007,556417.3767,성북-길음-177(비,52201,N,20241005170403,POINT (126.99873951389995 37.607338156541864),126.99873951389995,37.607338156541864
10,110081541,1109103,71,200179.2845,557270.9711,성북-길음-178(비,52201,N,20240924174257,POINT (127.00203064073793 37.6150289384433),127.00203064073793,37.6150289384433
11,110081544,1109104,74,203992.043,556907.3202,성북-장위-151(비,52201,N,20241011171100,POINT (127.04521332483111 37.61174384092767),127.04521332483111,37.61174384092767
12,110081545,1109102,75,200167.8441,554623.8677,성북-돈암-163(비,52201,N,20240905171638,POINT (127.001900455832 37.59117879434889),127.001900455832,37.59117879434889
13,110081546,1109103,76,201139.0945,556758.7652,성북-길음-166(비,52201,N,20241016170740,POINT (127.01290099665871 37.61041333255155),127.01290099665871,37.61041333255155
14,110081552,1109103,78,199932.1835,557329.2725,성북-길음-90(비),52201,N,20241006170340,POINT (126.99923188052306 37.61555424231672),126.99923188052306,37.61555424231672
15,110081554,1109102,80,199187.7397,554777.6531,성북-돈암-92(비),52201,N,20240905171638,POINT (126.9908028138328 37.59256404558423),126.9908028138328,37.59256404558423
16,110081555,1109102,81,199403.6206,554726.8837,성북-돈암-93(비),52201,N,20240905171638,POINT (126.99324726468669 37.59210678251342),126.99324726468669,37.59210678251342
17,110081556,1109102,82,201834.2554,555253.9896,성북-돈암-94(비),52201,N,20240914171115,POINT (127.02077038218862 37.59685432837014),127.02077038218862,37.59685432837014
18,110081559,1109102,84,201407.8748,555314.2475,성북-돈암-97(비),52201,N,20240926171119,POINT (127.01594233305738 37.597397997667336),127.01594233305738,37.597397997667336
19,110081561,1109102,86,200673.2326,554085.6801,성북-돈암-99(비),52201,N,20240930170849,POINT (127.00762234606839 37.58632953336703),127.00762234606839,37.58632953336703
